Question Text (English),Option A,Option B,Option C,Option D,,Explanation (English),DOPD Operation Weight (%),DOPD Discipline Weight (%),DOPD Professionalism Weight (%),Malay Question Text,Malay Option A,Malay Option B,Malay Option C,Malay Option D,Malay Explanation,Batch
"Before departure, you find that the export container has no seal.",Install any available seal and proceed.,Inform operations and wait for instruction.,Proceed since cargo is already loaded.,Seal it yourself without reporting.,B,Report missing seals before moving an export container.,0.5,0,0.5,"Sebelum bertolak, anda mendapati kontena eksport tersebut tidak mempunyai seal.",Pasang sebarang seal yang ada dan teruskan perjalanan.,Maklumkan kepada bahagian operasi dan tunggu arahan lanjut.,Teruskan perjalanan kerana muatan telah dimuatkan.,Pasang seal sendiri tanpa membuat sebarang laporan.,Laporkan ketiadaan seal sebelum menggerakkan atau membawa kontena.,3
"After a collision, you are gathering information from the other driver.",Take the driver's contact number and identification details.,Record only the vehicle number.,Ask them to contact your office directly.,Leave once traffic clears.,A,Obtain necessary contact and identification details.,0.5,0,0.5,"Selepas pelanggaran, anda mengumpul maklumat daripada pemandu lain.",Ambil nombor telefon dan butiran pengenalan pemandu tersebut.,Catat nombor pendaftaran kenderaan sahaja.,Minta mereka hubungi pejabat anda secara terus.,Beredar apabila trafik kembali lancar.,Dapatkan nombor telefon dan butiran pengenalan yang diperlukan.,3
A fire on your vehicle becomes large and difficult to control.,Contact the fire brigade immediately.,Continue using the extinguisher repeatedly.,Wait for operations to arrive first.,Move the vehicle slightly before deciding.,A,Contact fire brigade when the fire escalates.,0.5,0,0.5,Kebakaran pada kenderaan anda menjadi besar dan sukar dikawal.,Hubungi pasukan bomba dengan segera.,Terus gunakan alat pemadam api berulang kali.,Tunggu bahagian operasi tiba dahulu.,Gerakkan kendaraan sedikit sebelum membuat keputusan.,Hubungi bomba apabila kebakaran menjadi besar dan tidak terkawal.,3
You approach a site entrance from a public road. The access lane is narrow and partially obstructed.,Maintain speed to avoid blocking traffic behind,Slow early and proceed when the path is clear,Move closer to assess space before stopping,Enter the access lane and adjust position inside,B,Slow early and confirm the path is clear before entering a constrained access point.,1,,,Anda menghampiri pintu masuk tapak dari jalan awam. Laluan masuk sempit dan sebahagiannya terhalang.,Kekalkan kelajuan untuk elakkan menghalang trafik di belakang,Perlahankan awal dan masuk apabila laluan jelas,Bergerak lebih dekat untuk menilai ruang sebelum berhenti,Masuk ke laluan dan laraskan kedudukan di dalam,Perlahankan kenderaan lebih awal dan pastikan laluan jelas sebelum memasuki laluan sempit.,4
You drive at night in heavy rain on a downhill road. Visibility is reduced and vehicles ahead slow unpredictably.,Reduce speed early for higher risk conditions,Maintain speed and rely on headlights and braking,Slow slightly and adjust if visibility worsens,Keep pace with the vehicle ahead,A,Reduce speed in poor visibility to maintain control.,0.75,0.25,,Anda memandu pada waktu malam dalam hujan lebat di jalan menurun. Pandangan terhad dan kenderaan di hadapan memperlahankan secara tidak menentu.,Kurangkan kelajuan lebih awal kerana keadaan berisiko tinggi,Kekalkan kelajuan dan bergantung pada lampu serta brek,Perlahankan sedikit dan sesuaikan kelajuan jika pandangan semakin terhad,Ikut kelajuan kenderaan di hadapan,Kurangkan kelajuan apabila pandangan terhad untuk kekalkan kawalan.,4
You arrive at a customer site. Access lanes are narrow and forklifts operate near the loading area.,Hold back until access is clearly available,Move forward slowly to secure a position near loading,Approach while keeping visible to site staff,Continue advancing to avoid delaying loading,A,Keep distance from constrained access and active loading areas.,0.75,0.25,,Anda tiba di tapak pelanggan. Laluan masuk sempit dan forklift beroperasi berhampiran kawasan pemuatan.,Tunggu di luar sehingga laluan benar-benar jelas,Bergerak perlahan untuk mendapatkan kedudukan berhampiran kawasan pemuatan,Hampiri kawasan tersebut dengan memastikan anda kelihatan oleh pekerja tapak,Terus bergerak untuk elakkan kelewatan proses pemuatan.,Kekalkan jarak dari laluan sempit dan kawasan loading aktif.,4
You drive inside a facility. Vehicles queue ahead and forklifts operate near the roadway.,Increase following distance and keep clear sight,Maintain spacing and close the gap if traffic slows,Reduce the gap to avoid blocking vehicles behind,Match the distance used by surrounding vehicles,A,Maintain extra spacing and clear sight near operating equipment.,0.75,0.25,,Anda memandu di dalam kawasan fasiliti. Kenderaan beratur di hadapan dan forklift beroperasi berhampiran laluan.,Tambah jarak kenderaan dan kekalkan pandangan jelas,Kekalkan jarak dan rapatkan jika trafik perlahan,Rapatkan jarak untuk elakkan menghalang kenderaan di belakang,Ikut jarak yang digunakan oleh kenderaan sekeliling,Kekalkan jarak tambahan dan pandangan jelas berhampiran jentera beroperasi.,4
You approach a busy site exit joining a public road. Space is tight and reversing may be needed to realign.,Edge forward to secure position and adjust if needed,"Stop, assess, and reverse slowly under control",Use the horn and continue moving,Reverse quickly before vehicles arrive,B,Stop and maintain full control before reversing near junctions.,0.5,0.5,,Anda menghampiri pintu keluar tapak yang bersambung dengan jalan awam. Ruang sempit dan mungkin perlu mengundur untuk melaras kedudukan.,Bergerak sedikit ke hadapan untuk mendapatkan kedudukan,"Berhenti, nilai keadaan, dan undur perlahan dengan kawalan",Gunakan hon dan terus bergerak,Undur dengan cepat sebelum kenderaan tiba,Berhenti dan kekalkan kawalan penuh sebelum mengundur berhampiran persimpangan.,4
"After a delivery, you find a required document was not completed according to company procedure.",Complete and correct the document before closing the job,Leave it since the delivery is already done,Make a brief note and update it later if needed,Proceed to the next task and rely on existing records,A,Complete documents correctly to maintain procedural compliance.,0.25,0.75,,"Selepas selesai penghantaran, anda mendapati dokumen yang diperlukan tidak dilengkapkan mengikut prosedur syarikat.",Lengkapkan dan betulkan dokumen sebelum menyelesaikan tugasan,Biarkan sahaja kerana penghantaran sudah selesai,Buat catatan ringkas dan kemas kini kemudian jika perlu,Teruskan ke tugasan seterusnya dan bergantung pada rekod sedia ada,Lengkapkan dokumen dengan betul memastikan pematuhan terhadap prosedur.,4
"Feeling unusually tired due to insufficient rest, you are about to enter a site with narrow internal lanes.",Delay site entry to take a short rest,Enter carefully and rely on slow speed,Proceed since the site is familiar,Enter and take breaks after the manoeuvre,A,Address fatigue before entering confined areas.,0.75,0.25,,Anda berasa amat letih kerana kurang rehat dan akan memasuki tapak dengan laluan dalaman sempit.,Tangguhkan kemasukan ke tapak untuk berehat seketika,Masuk dengan berhati-hati dan bergantung pada kelajuan rendah,Teruskan kerana tapak tersebut sudah biasa,Masuk dan berehat selepas selesai manuver,Atasi keletihan sebelum memasuki kawasan sempit.,4
"While waiting inside a site, an emergency alarm sounds and vehicles are directed to clear the area. Your engine is running.",Follow evacuation instructions and stop the engine when safe,Keep the engine running and leave quickly,Wait for clarification before acting,Continue idling until site personnel approach,A,Follow evacuation instructions and manage the vehicle safely.,0.25,0.75,,"Semasa menunggu di dalam tapak, penggera kecemasan berbunyi dan kenderaan diarahkan mengosongkan kawasan. Enjin anda masih hidup.",Ikut arahan pemindahan dan matikan enjin apabila selamat,Kekalkan enjin hidup dan keluar dengan cepat,Tunggu penjelasan lanjut sebelum bertindak,Terus hidupkan enjin sehingga kakitangan tapak datang,Ikut arahan pemindahan dan kendalikan kenderaan dengan selamat.,4
You arrive at a customer premise and are told unloading will take longer than expected. The vehicle is parked safely.,Switch off the engine while waiting,Keep the engine running to be ready to move,Rev the engine occasionally,Leave the engine idling and monitor the situation,A,Switch off the engine during long waiting periods.,0.75,0.25,,Anda tiba di tempat pelanggan dan dimaklumkan proses memunggah keluar akan mengambil masa lebih lama daripada jangkaan. Kenderaan telah diparkir dengan selamat.,Matikan enjin semasa menunggu,Biarkan enjin hidup untuk bersedia bergerak,Tekan minyak sekali-sekala,Biarkan enjin melahu sambil memantau keadaan,Matikan enjin semasa menunggu lama untuk mengelakkan pembaziran bahan api.,4
"While driving, you notice unusual vibration and a new mechanical noise from the vehicle.",Continue driving and observe if the noise disappears,Stop safely and report the issue clearly to the supervisor,Reduce speed and complete the trip as planned,Mention the issue during the next scheduled check,B,Early detection and clear reporting help prevent minor issues from becoming safety risks.,0.25,0.5,0.25,"Semasa memandu, anda merasakan getaran tidak normal dan bunyi mekanikal baharu daripada kenderaan.",Teruskan memandu dan lihat sama ada bunyi itu hilang,Berhenti di tempat selamat dan laporkan masalah kepada penyelia,Kurangkan kelajuan dan teruskan perjalanan seperti dirancang,Nyatakan masalah semasa pemeriksaan seterusnya,Pengesanan awal dan laporan yang jelas membantu mengelakkan masalah kecil menjadi risiko keselamatan.,4
"At a site checkpoint, you notice a vehicle defect just before being cleared to proceed.",Proceed through the checkpoint and report the defect afterwards,Stop at the checkpoint and report the defect immediately,Move past the checkpoint and assess the defect inside,Request guidance while remaining in the queue,B,Reporting defects at checkpoints prevents unsafe entry into controlled zones.,0.5,0.5,,"Di checkpoint tapak, anda perasan ada kerosakan pada kenderaan sejurus sebelum dibenarkan bergerak.",Terus melepasi checkpoint dan laporkan kerosakan kemudian,Berhenti di checkpoint dan laporkan kerosakan segera,Lepasi checkpoint dan periksa kerosakan di dalam,Minta panduan sambil kekal dalam barisan,Laporkan kerosakan sebelum bergerak untuk elakkan risiko semasa masuk atau keluar kawasan terkawal.,4
A staff member at the delivery premise hints that a small personal favour could speed up your delivery process.,Decline politely and follow standard procedures,Accept the request to maintain good customer relations,Delay the decision and see how the situation develops,Refer the matter to another driver on site,A,Following standard procedures protects fairness and avoids improper influence.,,0.25,0.75,Seorang pekerja di tempat pelanggan mencadangkan bahawa bantuan peribadi kecil boleh mempercepatkan proses penghantaran.,Tolak dengan sopan dan ikut prosedur biasa,Terima permintaan itu untuk jaga hubungan pelanggan,Tangguhkan keputusan dan lihat perkembangan keadaan,Rujuk perkara itu kepada pemandu lain di tapak,Mengikut prosedur biasa membantu kekalkan keadilan dan elakkan pengaruh yang tidak wajar.,4
"After a delivery, you notice the recorded details do not fully match what occurred.",Clarify the discrepancy and update the records accurately,Leave the records unchanged to avoid reopening the discussion,Add brief notes later so the paperwork roughly reflects events,Ask someone else to adjust the documents if needed,A,Correct records promptly to ensure accuracy and prevent misunderstandings.,,0.5,0.5,"Selepas penghantaran, anda mendapati butiran yang direkod tidak sepenuhnya sepadan dengan apa yang berlaku.",Jelaskan perbezaan dan kemas kini rekod dengan tepat,Biarkan rekod seperti itu untuk elakkan perbincangan dibuka semula,Tambah catatan ringkas kemudian supaya dokumen lebih kurang mencerminkan keadaan sebenar,Minta orang lain mengubah dokumen jika perlu,Betulkan rekod dengan segera untuk memastikan ketepatan dan mengelakkan salah faham.,4
"After unloading in a public street, a nearby shop owner asks you to record a shorter stop time to avoid complaints.",Record the actual stop time and submit the document as required,Shorten the recorded time since unloading is already completed,Leave the timing unclear so it does not attract attention,Explain the situation verbally and minimise what is written,A,"Accurate records uphold accountability, even when there is public pressure.",,0.25,0.75,"Selepas memunggah muatan di tepi jalan awam, seorang pemilik kedai meminta anda merekod masa berhenti yang lebih singkat untuk elakkan aduan.",Catat masa berhenti sebenar dan serahkan dokumen seperti dikehendaki,Pendekkan masa yang direkod kerana proses memunggah sudah selesai,Biarkan catatan masa tidak jelas supaya tidak menarik perhatian,Jelaskan secara lisan dan kurangkan maklumat bertulis,Catatan yang tepat membantu kekalkan tanggungjawab walaupun ada tekanan dari luar.,4
You are driving through a residential area where pedestrians are present and traffic is light.,Maintain an appropriate speed and remain mindful of people nearby,Drive slightly faster to clear the area quickly,Match the flow of traffic and continue as usual,Focus on the road ahead and avoid reacting to bystanders,A,Reducing speed in residential areas shows consideration for pedestrian safety.,0.25,0.25,0.5,Anda memandu melalui kawasan perumahan dengan kehadiran pejalan kaki dan trafik yang ringan.,Kekalkan kelajuan yang sesuai dan peka terhadap orang di sekeliling,Pandu sedikit lebih laju untuk keluar dari kawasan itu dengan cepat,Ikut aliran trafik dan teruskan seperti biasa,Fokus ke hadapan dan abaikan pergerakan orang di tepi jalan,Mengurangkan kelajuan di kawasan perumahan menunjukkan keprihatinan terhadap keselamatan pejalan kaki.,4
"You intend to change lanes, but another driver in your blind spot appears unsure of your intention.",Signal early and wait until the other driver responds before moving,Drift slightly to indicate intention and move when space appears,Check mirrors again and change lanes once traffic slows,Hold position and change lanes later without signalling,A,Clear signalling helps other drivers understand your intention and reduces uncertainty during lane changes.,0.25,0.25,0.5,"Anda bercadang untuk menukar lorong, namun pemandu di titik buta kelihatan tidak pasti tentang niat anda.",Beri isyarat awal dan tunggu sehingga diberi ruang,Hanyut sedikit ke sisi untuk menunjukkan niat dan masuk apabila ada ruang,Periksa cermin sekali lagi dan tukar lorong apabila trafik menjadi perlahan,Kekalkan kedudukan dan tukar lorong kemudian tanpa memberi isyarat,Isyarat yang jelas membantu pemandu lain memahami niat anda dan mengurangkan ketidakpastian semasa menukar lorong.,4
"Another driver cuts in suddenly, forcing you to brake, then begins gesturing angrily at you.",Regain composure and continue driving without reacting,Respond briefly to show you were affected by the move,Accelerate to move away from the situation,Slow further to signal your frustration,A,Maintaining composure and not reacting helps prevent aggressive situations from escalating.,0.25,,0.75,"Seorang pemandu memotong masuk secara tiba-tiba sehingga anda terpaksa membrek, kemudian menunjukkan isyarat marah kepada anda.",Tenangkan diri dan teruskan pemanduan tanpa memberi respons,Beri respons ringkas untuk menunjukkan anda terkesan,Tambah kelajuan untuk menjauhkan diri daripada situasi,Perlahankan lagi kenderaan sebagai tanda tidak puas hati,Mengekalkan ketenangan dan tidak bertindak balas membantu mengelakkan situasi agresif daripada menjadi lebih tegang.,4
"You plan to install a sun shade, dark tint film, or stickers on the company truck windscreen.",Install them if they do not block the main driving view.,Do not install them without company approval.,Use removable shades only during daytime driving.,Check whether other drivers have done similar modifications.,B,Avoid unauthorised vehicle modifications that may affect safety or compliance.,0.5,0.5,0,"Anda bercadang memasang pelindung matahari, filem gelap, atau pelekat pada cermin hadapan lori syarikat.",Pasang jika tidak menghalang pandangan utama ketika memandu.,Jangan pasang tanpa kelulusan syarikat.,Gunakan pelindung yang boleh ditanggalkan pada waktu siang sahaja.,Periksa sama ada pemandu lain pernah membuat pengubahsuaian yang sama.,Elakkan pengubahsuaian pada kenderaan tanpa kelulusan yang boleh menjejaskan keselamatan atau pematuhan.,4
Your goods vehicle is experiencing failure on a highway and you have stopped on the left shoulder.,Remain inside and assess the situation first.,Switch on the hazard lights immediately.,Call your supervisor before taking further action.,Step out briefly to check approaching traffic.,B,Activate hazard lights promptly to alert approaching traffic.,0.5,0,0.5,Kenderaan barangan anda mengalami kerosakan di lebuh raya dan anda telah berhenti di bahu jalan sebelah kiri.,Kekal di dalam kenderaan dan nilai keadaan terlebih dahulu.,Hidupkan lampu kecemasan dengan segera.,Hubungi penyelia sebelum mengambil tindakan lanjut.,Keluar sebentar untuk memeriksa trafik yang menghampiri.,Hidupkan lampu kecemasan segera untuk memberi amaran kepada pengguna jalan lain.,4
Your vehicle is due for scheduled maintenance according to the company/manufacturer's manual.,Continue operating since the vehicle is running smoothly.,Follow the scheduled maintenance requirement.,Postpone the service until the next trip cycle.,Wait for further confirmation before arranging service.,B,Follow the company/manufacturer's maintenance schedule as required.,0.5,0,0.5,Kenderaan anda telah tiba masa menjalani penyelenggaraan berjadual mengikut manual syarikat atau pengeluar.,Terus beroperasi kerana kenderaan masih berfungsi dengan baik.,Patuhi keperluan penyelenggaraan berjadual.,Tangguhkan servis sehingga kitaran perjalanan seterusnya.,Tunggu pengesahan lanjut sebelum mengaturkan servis.,Patuhi jadual penyelenggaraan yang ditetapkan oleh syarikat atau pengeluar.,4
You are involved in a minor incident during vehicle operation.,Report the incident within 2 hours as required.,Report it at the end of the workday.,Report only if damage is visible.,Wait until instructed before reporting.,A,Report accidents or incidents within the required reporting timeframe.,0,0,0.5,Anda terlibat dalam satu insiden kecil semasa mengendalikan kenderaan.,Laporkan insiden dalam tempoh 2 jam seperti yang ditetapkan.,Laporkan pada akhir hari kerja.,Laporkan hanya jika terdapat kerosakan yang dapat dilihat.,Tunggu arahan sebelum membuat laporan.,Laporkan kemalangan atau insiden dalam tempoh masa pelaporan yang ditetapkan.,4
You are about to start driving the vehicle.,Fasten the seat belt before moving.,Drive first and fasten it later.,Wear it only on highways.,Use it only when carrying heavy cargo.,A,Always wear the seat belt before driving.,0,1,0,Anda hendak memulakan pemanduan kenderaan.,Pakai tali pinggang keledar sebelum bergerak.,Mula memandu dan pakai kemudian.,Pakai hanya di lebuh raya.,Pakai hanya apabila membawa muatan berat.,Pakai tali pinggang keledar sebelum memandu.,4
You are reporting for duty after several weeks without a haircut.,Maintain short and neat hair as required.,Keep long hair if tied properly.,Trim only when reminded by HR.,Maintain appearance only for inspections.,A,Maintain neat and appropriate grooming for duty.,0.5,0,0.5,Anda melapor diri untuk bertugas selepas beberapa minggu tanpa memotong rambut.,Pastikan rambut sentiasa pendek dan kemas seperti yang ditetapkan.,Simpan rambut panjang asalkan diikat dengan kemas.,Potong rambut hanya apabila diingatkan oleh pihak sumber manusia (HR).,Jaga penampilan hanya semasa pemeriksaan dijalankan.,Kekalkan penampilan yang kemas dan sesuai semasa bertugas.,4
You arrive at a delivery location and notice the address differs from the delivery note.,Deliver to the new address if the customer confirms verbally.,Contact operations for confirmation before proceeding.,Deliver if the location is nearby.,Leave the goods with the person present at the site.,B,Verify address changes with operations before delivery.,0,1,0,Anda tiba di lokasi penghantaran dan mendapati alamat berbeza daripada yang tertera pada nota penghantaran.,Hantar ke alamat baharu jika pelanggan mengesahkan secara lisan.,Hubungi bahagian operasi untuk pengesahan sebelum meneruskan penghantaran.,Hantar jika lokasi berhampiran.,Tinggalkan barang kepada individu yang berada di tapak.,Sahkan sebarang perubahan alamat dengan bahagian operasi sebelum membuat penghantaran.,4
"You notice a crack, repair mark, and slight bulging on an import container panel.",Record the condition in the gate pass.,Proceed if the door locks properly.,Report only if damage worsens.,Assume it was previously declared.,A,Record abnormal container conditions in the gate pass.,0.5,0,0.5,"Anda mendapati terdapat rekahan, kesan pembaikan dan sedikit bonjolan pada panel sebuah kontena import.",Rekodkan keadaan tersebut pada gate pass.,Teruskan perjalanan jika pintu boleh dikunci dengan baik.,Laporkan hanya jika kerosakan menjadi lebih teruk.,Anggap keadaan tersebut telah diisytiharkan sebelum ini.,Rekodkan sebarang keadaan kontena yang tidak normal pada gate pass sebelum bertolak/meneruskan perjalanan.,4
"Before moving the container, you inspect the seal.",Ensure the seal is intact and secured.,Proceed if the container door is locked.,Check the seal only at delivery point.,Rely on previous documentation.,A,Ensure the container seal is intact before movement.,0.5,0,0.5,"Sebelum menggerakkan kontena, anda memeriksa seal.",Pastikan seal dalam keadaan baik dan dikunci dengan betul.,Teruskan perjalanan jika pintu kontena telah dikunci.,Periksa seal hanya di lokasi penghantaran.,Bergantung kepada dokumentasi terdahulu.,Pastikan seal dalam keadaan baik sebelum menggerakkan kontena.,4
"After confirming the seal on a loaded export container, what should you do next?",Inform operations of the seal number.,Proceed directly to the port.,Record it only in your trip log.,Provide the seal number at delivery.,A,Inform operations of the seal number for system update.,0.5,0,0.5,"Selepas mengesahkan seal pada kontena eksport yang telah dimuatkan, apakah tindakan seterusnya?",Maklumkan nombor seal kepada bahagian operasi.,Terus bergerak ke pelabuhan.,Rekodkan nombor seal hanya dalam log perjalanan sahaja.,Berikan nombor seal semasa penghantaran.,Maklumkan nombor seal kepada bahagian operasi untuk kemas kini sistem.,4
"Following a collision, what photographic evidence should you collect?",Photos of the scene and vehicles involved.,Only your own vehicle damage.,A photo after vehicles are moved.,No photos if witnesses are present.,A,Take clear photos of the accident scene and vehicles.,0.5,0,0.5,"Selepas pelanggaran, bukti gambar apakah yang perlu anda ambil?",Gambar lokasi kejadian dan kenderaan yang terlibat.,Gambar kerosakan kenderaan anda sahaja.,Gambar selepas kenderaan dialihkan.,Tidak perlu ambil gambar jika ada saksi.,Ambil gambar yang jelas bagi lokasi kejadian dan kenderaan yang terlibat.,4
"After a road accident, the Emergency Response Team contacts you.","Provide clear details of what happened, time, location, and vehicles involved.",Inform them only that an accident occurred.,Ask them to obtain details from witnesses.,Provide information after returning to depot.,A,Provide clear and accurate accident details immediately.,0.5,0,0.5,"Selepas kemalangan jalan raya, Pasukan Tindak Balas Kecemasan menghubungi anda.","Berikan maklumat jelas tentang apa yang berlaku, masa, lokasi dan kenderaan yang terlibat.",Maklumkan bahawa kemalangan telah berlaku sahaja.,Minta mereka mendapatkan maklumat daripada saksi.,Berikan maklumat selepas kembali ke depot.,Berikan maklumat kemalangan yang jelas dan tepat dengan segera.,4
You drive inside a terminal lane where RTG lifting and yard vehicles are moving.,Maintain speed and pass while watching the RTG,Reduce speed early and pass cautiously,Continue at moderate speed and adjust if equipment moves closer,Slow slightly but keep moving to avoid delaying traffic,B,Reduce speed early near lifting activity to manage sudden equipment movement safely.,0.75,0.25,,Anda memandu di laluan terminal di mana RTG beroperasi dan kenderaan yard sedang bergerak.,Kekalkan kelajuan dan lalu sambil memerhati RTG,Kurangkan kelajuan lebih awal dan lalu dengan berhati-hati,Teruskan pada kelajuan sederhana dan laras jika RTG menghampiri,Perlahankan sedikit tetapi terus bergerak untuk elakkan kelewatan trafik,Kurangkan kelajuan lebih awal berhampiran aktiviti jentera untuk mengendalikan pergerakan jentera secara selamat.,5
You drive in slow traffic. A driver cuts in and brakes sharply.,Reduce speed smoothly and keep a safe pace,Maintain speed to avoid being pushed back,"Slow briefly, then speed up to create space",Adjust speed after traffic settles,A,Calm speed control prevents impulsive reactions in frustrating traffic.,0.5,0.25,0.25,Anda memandu dalam trafik perlahan. Seorang pemandu memotong masuk dan membrek secara mengejut.,Kurangkan kelajuan secara lancar dan kekalkan kelajuan selamat,Kekalkan kelajuan untuk mengelak daripada didorong ke belakang.,Perlahankan seketika kemudian tambah kelajuan untuk mewujudkan ruang di hadapan,Sesuaikan kelajuan selepas trafik kembali stabil,Kawalan kelajuan yang tenang membantu mengelakkan tindak balas impulsif dalam trafik.,5
You are in an active loading area during heavy rain. Surfaces are wet and equipment operates nearby.,Stay clear of the loading area until conditions stabilise,Proceed carefully while adjusting pace for the weather,Move closer to monitor equipment movement,Continue approaching so loading can proceed,A,Keep clear of loading activity when weather increases risk.,0.75,0.25,,Anda berada di kawasan pemuatan aktif semasa hujan lebat. Permukaan basah dan jentera beroperasi berhampiran.,Kekal jauh dari kawasan pemuatan sehingga keadaan stabil,Teruskan dengan berhati-hati sambil laraskan kelajuan,Bergerak lebih dekat untuk memantau pergerakan jentera,Terus menghampiri supaya proses pemuatan boleh diteruskan,Kekalkan jarak dari aktiviti pemuatan apabila keadaan cuaca meningkatkan risiko.,5
You move from an internal roadway toward a loading area. Obstructions and movement change around you.,Slow early and adjust your path to surrounding movement,Maintain pace and react when a hazard appears,Focus on the path ahead and reassess inside,Follow vehicles ahead that pass smoothly,A,Anticipate early and adjust space to avoid sudden reactions.,1,,,Anda bergerak dari laluan dalaman menuju kawasan pemunggahan. Halangan dan pergerakan berubah di sekeliling.,Perlahankan kenderaan lebih awal dan sesuaikan laluan mengikut pergerakan sekitar,Kekalkan kelajuan dan bertindak apabila bahaya muncul,Fokus pada laluan di hadapan dan nilai semula selepas masuk,Ikut kenderaan di hadapan yang melalui kawasan dengan lancar,Jangka lebih awal dan sesuaikan ruang untuk elakkan tindak balas mengejut.,5
"At a security checkpoint, the vehicle ahead is being cleared and the guard signals you to move closer.",Close the gap to speed up clearance,Keep a safe following distance,Stop directly behind the vehicle,Move slowly and rely on the guard to manage spacing,B,Checkpoint instructions do not replace safe spacing.,,0.5,0.5,"Di pusat pemeriksaan keselamatan, kenderaan di hadapan sedang diperiksa dan pengawal memberi isyarat supaya anda bergerak lebih dekat.",Rapatkan jarak untuk mempercepatkan pemeriksaan,Kekalkan jarak selamat dengan kenderaan di hadapan,Berhenti tepat di belakang kenderaan,Bergerak perlahan dan bergantung pada pengawal untuk mengawal jarak,Arahan pusat pemeriksaan tidak menggantikan disiplin jarak selamat.,5
"After a delivery, you are stopped for inspection and asked to present your documents. One document was completed late but is accurate.",Present the documents and clarify the late entry,Hand over the documents without mentioning the late entry,Say the document was completed earlier,Offer to update the document later,A,Present accurate documents and clarify issues during inspections.,,0.75,0.25,"Selepas penghantaran, anda ditahan untuk pemeriksaan dan diminta menunjukkan dokumen. Satu dokumen dilengkapkan lewat tetapi maklumatnya tepat.",Tunjukkan dokumen dan jelaskan tentang pengisian lewat,Serahkan dokumen tanpa memaklumkan tentang kelewatan pengisian,Nyatakan bahawa dokumen telah dilengkapkan lebih awal,Tawarkan untuk mengemas kini dokumen kemudian,Tunjukkan dokumen yang tepat dan jelaskan perkara berkaitan semasa pemeriksaan.,5
"While driving inside a site, you see a posted speed limit.",Adjust speed to comply with the posted limit,Maintain current speed since traffic is light,Reduce speed slightly but continue comfortably,Match the speed of other vehicles,A,Follow posted speed limits inside operational sites.,0.5,0.5,,"Semasa memandu di dalam tapak, anda melihat had laju yang dipaparkan.",Laraskan kelajuan untuk mematuhi had laju yang dipaparkan,Kekalkan kelajuan kerana trafik ringan,Kurangkan kelajuan sedikit tetapi teruskan dengan selesa,Ikut kelajuan kenderaan lain,Patuhi had laju yang ditetapkan di dalam kawasan operasi.,5
"After a pre-trip inspection, you feel an unusual vibration while driving.",Stop and recheck the vehicle before continuing,Continue driving since the inspection showed no problems,Complete the trip and report it at the end of the shift,Ignore it unless a warning indicator appears,A,Unusual vehicle behaviour requires immediate checking.,0.5,0.5,,"Selepas pemeriksaan sebelum perjalanan, anda merasakan getaran tidak biasa semasa memandu.",Berhenti dan periksa semula kenderaan,Terus memandu kerana pemeriksaan awalan dibuat,Selesaikan perjalanan dan laporkan pada akhir syif,Abaikan kecuali lampu amaran muncul,Perubahan mekanikal kenderaan perlu diperiksa segera.,5
"At the end of your shift, the vehicle cabin is cluttered with items.",Tidy the cabin and leave it ready for the next driver,Leave the cabin since the shift has ended,Remove personal items and clean it the next shift,Clean only if the next driver is known,A,Leave the cabin orderly for the next user or the next shift,,0.5,0.5,"Pada akhir syif, kabin kenderaan berselerak dengan barang.",Kemas kabin dan sediakan untuk pemandu seterusnya,Biarkan kabin kerana syif telah tamat,Ambil barang peribadi dan kemakan kabin keesokan hari,Bersihkan hanya jika pemandu seterusnya dikenali,Tinggalkan kabin dalam keadaan kemas untuk pengguna seterusnya.,5
"Before departure, you identify a cargo safety concern while another party pressures you to move immediately.",Proceed carefully to avoid further discussion,Address the safety concern and explain the delay calmly,Agree to move briefly to reduce tension,Remain silent and delay action,B,Address safety concerns first while responding calmly to others.,0.25,0.25,0.5,"Sebelum berlepas, anda mengenal pasti isu keselamatan muatan sementara pihak lain mendesak anda bergerak segera.",Teruskan dengan berhati-hati untuk elakkan perbincangan lanjut,Tangani isu keselamatan muatan dan jelaskan kelewatan dengan tenang,Setuju bergerak seketika untuk mengurangkan ketegangan,Berdiam diri dan tangguhkan tindakan,Utamakan keselamatan sambil bertindak balas dengan tenang kepada pihak lain.,5
"While reversing slowly inside a site, you notice steering response feels abnormal.",Continue reversing carefully to clear the area,Stop the manoeuvre and assess the defect,Complete the reverse and report afterward,Reduce speed further and keep moving,B,Stopping immediately when a defect is felt during manoeuvres prevents damage and injury.,0.75,0.25,,"Semasa mengundur perlahan di dalam tapak, anda merasakan tindak balas stereng tidak normal.",Terus mengundur dengan berhati-hati untuk lepasi kawasan itu,Hentikan manuver dan periksa keadaan,Selesaikan undur dan laporkan selepas itu,Kurangkan lagi kelajuan dan teruskan bergerak,Hentikan kenderaan apabila terasa tanda tidak normal semasa manuver untuk elakkan kerosakan dan kecederaan.,5
